number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
30,0.9671176711767118,2026-04-09 00:48:28.086363,2026-04-09 00:48:29.674075,0 days 00:00:01.587712,0.8054418388686929,0.08186895791106472,31,269,60,8.908159522518984,2.7717005275224884,0.8659441092263341,COMPLETE
31,0.9695680628272251,2026-04-09 00:48:28.470092,2026-04-09 00:48:29.806616,0 days 00:00:01.336524,0.7603591284473779,0.08112911879571003,35,204,60,9.870882607378292,2.3155487924343223,0.8857662108144236,COMPLETE
32,0.9722584856396866,2026-04-09 00:48:29.674075,2026-04-09 00:48:31.404524,0 days 00:00:01.730449,0.7329960168275023,0.0996070934161653,20,327,56,7.459167378575991,1.8356773364980492,0.9017127579317321,COMPLETE
33,0.9718390335482818,2026-04-09 00:48:29.814394,2026-04-09 00:48:31.575021,0 days 00:00:01.760627,0.7261693612377627,0.09307935436523694,16,325,56,7.4508244090540625,3.5826998140095454,0.9004829411875968,COMPLETE
34,0.9725938009787928,2026-04-09 00:48:31.407824,2026-04-09 00:48:33.020458,0 days 00:00:01.612634,0.7283663763529167,0.09841404915767685,18,298,56,8.352810277767754,1.536861305418295,0.9130416304768172,COMPLETE
35,0.9717551020408164,2026-04-09 00:48:31.576673,2026-04-09 00:48:33.134486,0 days 00:00:01.557813,0.723129932523313,0.09973426605958373,21,293,57,8.364169075107686,1.3148932411904273,0.9139785047383504,COMPLETE
36,0.96465559756699,2026-04-09 00:48:33.022485,2026-04-09 00:48:34.172856,0 days 00:00:01.150371,0.9295705792979966,0.099980063237038,21,300,56,8.292122088622659,1.6052066637062388,0.9157122734140989,COMPLETE
37,0.9640595443704252,2026-04-09 00:48:33.139629,2026-04-09 00:48:34.179629,0 days 00:00:01.040000,0.9447191350524827,0.09860700760764099,19,308,55,7.260284190398816,1.6119598484969484,0.8748513524639021,COMPLETE
38,0.9678793838085874,2026-04-09 00:48:34.174364,2026-04-09 00:48:35.343571,0 days 00:00:01.169207,0.7874871096144542,0.09736036588472148,16,368,54,7.280454552272035,0.22126268199135146,0.8798100777578193,COMPLETE
39,0.972006855463968,2026-04-09 00:48:34.181197,2026-04-09 00:48:35.399705,0 days 00:00:01.218508,0.7452763696216491,0.08870054589726768,12,371,61,9.487373055107806,0.016015017974409185,0.8905160616247234,COMPLETE
40,0.9709150326797386,2026-04-09 00:48:35.344583,2026-04-09 00:48:36.376576,0 days 00:00:01.031993,0.7463989374767455,0.08924426914118877,39,320,61,9.429526287357572,0.8249028011964772,0.9287853819105468,COMPLETE
41,0.9690620396136849,2026-04-09 00:48:35.401727,2026-04-09 00:48:36.452521,0 days 00:00:01.050794,0.7600560833220951,0.08423627228271911,39,328,63,8.38127552122854,3.5829685714919783,0.8303608728339272,COMPLETE
42,0.9726775956284153,2026-04-09 00:48:36.376576,2026-04-09 00:48:37.559500,0 days 00:00:01.182924,0.7557089283072346,0.09051919836103467,12,376,62,8.480925211109271,0.6109671565136818,0.8897671646541901,COMPLETE
43,0.9725938009787928,2026-04-09 00:48:36.454529,2026-04-09 00:48:37.568606,0 days 00:00:01.114077,0.7196126597045212,0.09000517908188477,12,345,57,9.399144088411642,0.6854450931873286,0.8911239229143918,COMPLETE
44,0.972006855463968,2026-04-09 00:48:37.562521,2026-04-09 00:48:39.318467,0 days 00:00:01.755946,0.7173154278200239,0.09694677240775457,23,348,62,8.034382905448085,0.7139482344578845,0.8893530912350874,COMPLETE
45,0.9709991013806062,2026-04-09 00:48:37.570615,2026-04-09 00:48:39.646450,0 days 00:00:02.075835,0.7154386480660746,0.07852181498440199,13,346,45,7.944649495911212,0.6791706115091587,0.8907162718170062,COMPLETE
46,0.97125122508984,2026-04-09 00:48:39.320821,2026-04-09 00:48:41.086683,0 days 00:00:01.765862,0.7396114402145044,0.0781423106640814,13,285,45,9.244057838167372,1.9047104377390376,0.983358851064852,COMPLETE
47,0.972006855463968,2026-04-09 00:48:39.648471,2026-04-09 00:48:41.312711,0 days 00:00:01.664240,0.7361888373710236,0.09094734651630625,28,279,53,9.164547869841892,1.9364632400306385,0.9813112144390734,COMPLETE
48,0.9710831563470022,2026-04-09 00:48:41.087309,2026-04-09 00:48:43.003389,0 days 00:00:01.916080,0.7177523337052095,0.09099947277937664,29,371,41,6.246825317995516,2.1339336269546223,0.8743174807728493,COMPLETE
49,0.9729288975864319,2026-04-09 00:48:41.315291,2026-04-09 00:48:43.771705,0 days 00:00:02.456414,0.7151616590099216,0.0848278996340606,14,379,57,0.11713189236273891,5.351681860821428,0.8712392231271036,COMPLETE
